Governance Role Catalogue													
Role IDs are stable technical identifiers; holder names are added separately in the Appointment Register.													
Role ID	Role Name	Domain	Minimum Staffing	Core Authority	Explicit Prohibitions	Default Scope	Mandatory at Launch?	Appointing Authority	Minimum Criteria	Training Refresh	Authentication	Audit Retention	Status
ROLE-001	Governing Board	Central governance	Collective	Final institutional governance, charter, budget, senior appointments and unresolved appeals	Cannot execute routine administration or self-approve conflicts	Organization-wide	Yes	Board resolution	Governance, fiduciary duty, community legitimacy	Annual	MFA + hardware key preferred	5 years	Active design
ROLE-002	Project Sponsor / Executive Owner	Executive	1 primary + deputy	Owns outcomes, funding and executive escalation	Cannot approve own expenditure or override audit findings	Organization-wide	Yes	Governing Board	Executive authority, accountability, availability	Annual	MFA	7 years	Active design
ROLE-003	Product Owner	Product	1 primary + deputy	Prioritizes Release 1.0 backlog and accepts business functionality	Cannot final-approve cultural/legal/security exceptions	Product scope	Yes	Project Sponsor	Requirements leadership, community understanding	6 months	MFA	3 years	Active design
ROLE-004	Program / Project Manager	Delivery	1 primary	Plans SDLC, risks, dependencies, reporting and change control	Cannot independently accept release or security risk	Project scope	Yes	Project Sponsor	SDLC delivery and governance experience	6 months	MFA	3 years	Active design
ROLE-005	Senior Community / Religious Authority	Cultural governance	Minimum 2	Final-approves cultural terminology, ritual rules and contested interpretations	Cannot final-approve a rule personally proposed or reviewed	Organization/assigned domain	Yes	Governing Board	Recognized legitimacy and documented expertise	Annual	MFA	Permanent	Active design
ROLE-006	Cultural Reviewer	Cultural governance	Minimum 2	Validates Nata/Saino, Jutho, Tithi/Shraddha and cultural content	Cannot final-approve own review	Assigned cultural domain	Yes	Senior Community Authority	Subject expertise, evidence evaluation	Annual	MFA	Permanent	Active design
ROLE-007	Central Genealogy Authority	Data governance	Minimum 2	Approves cross-branch merges, complex lineage and escalated genealogy disputes	Cannot change source evidence or approve own family case	Organization-wide	Yes	Governing Board	Genealogy methods, neutrality, provenance	Annual	MFA	Permanent	Active design
ROLE-008	Branch Authority	Branch governance	1 primary + 1 deputy per branch	Approves branch membership, local records and branch verifiers	Limited to assigned branch; must recuse on own/direct-family cases	Assigned branch	Yes	Central Genealogy Authority / Board	Branch recognition, integrity, digital competency	Annual	MFA	3 years	Active design
ROLE-009	Genealogy Verifier	Data operations	At least 2 per branch	Checks identity, sources, duplicates and relationship proposals	Cannot approve own entries or final-resolve disputes	Assigned branch	Yes	Branch Authority	Data verification and privacy training	6 months	MFA	3 years	Active design
ROLE-010	Cultural Content Editor	Content	Minimum 2	Drafts and maintains CMS content and citations	Cannot publish cultural rules without approvals	Assigned content domains	No	Product Owner	Nepali/English writing, source handling	6 months	MFA	2 years	Active design
ROLE-011	Community Moderator	Trust & safety	Coverage-based	Moderates posts, reports and member safety	Cannot access private genealogy/contact data without case need	Assigned queues/branches	Yes	Trust & Safety Lead	Moderation, safeguarding, impartiality	Before access	MFA	2 years	Active design
ROLE-012	Privacy / Data Protection Officer	Privacy	1 primary + deputy	Owns privacy policy, rights requests, DPIA, retention and sensitive-access oversight	Cannot operate systems they independently audit	Organization-wide	Yes	Governing Board	Nepal privacy/legal knowledge, independence	Annual	MFA + hardware key preferred	7 years	Active design
ROLE-013	Security Administrator	Security	Minimum 2	Security configuration, keys, incident containment and privileged-access administration	Cannot suppress logs or close own security incidents	Production systems	Yes	Technology Lead + DPO oversight	Security engineering, incident response	Quarterly	Hardware-backed MFA	7 years	Active design
ROLE-014	System Administrator	Technology operations	Minimum 2	Infrastructure, deployment support, backup operations and service recovery	No cultural/data approval; no audit deletion	Assigned environments	Yes	Technology Lead	Cloud/mobile operations and recovery	Quarterly	MFA	3 years	Active design
ROLE-015	Independent Auditor	Assurance	1 internal/external	Reviews access, approvals, finance, logs and compliance	Read-only; cannot administer audited systems	Organization-wide read-only	Yes	Governing Board	Audit independence and evidence skills	Annual	MFA	7 years	Active design
ROLE-016	Release Manager	Engineering governance	1 primary + deputy	Coordinates release evidence and executes approved production release	Cannot approve own code, UAT or security exceptions	Release scope	Yes	Technology Lead	Release engineering and rollback	Quarterly	MFA	3 years	Active design
ROLE-017	Finance / Procurement Officer	Finance	Minimum 2	Budget tracking, procurement records and payments workflow	Requester cannot approve payment; dual authorization required	Financial scope	Yes	Governing Board	Finance controls and procurement	Annual	MFA	7 years	Active design
ROLE-018	Support Agent	Member support	Coverage-based	Handles member support and routes verification/privacy cases	No bulk export; no approval; sensitive access is case-bound	Assigned support queue	No	Operations Lead	Support, privacy and safeguarding training	6 months	MFA	1 year	Active design
ROLE-019	Incident Commander	Incident response	On-call rotation	Coordinates severity-1/2 incidents and communications	Temporary incident authority only; post-review mandatory	Active incident	Yes	Technology Lead	Incident command training	Quarterly	MFA	3 years	Active design
ROLE-020	Legal Adviser	Legal/compliance	Named adviser/firm	Reviews legal basis, terms, disputes, child data and regulatory changes	Advisory unless formally delegated; cannot override governance	Legal scope	Yes	Governing Board	Nepal-qualified legal expertise	Annual	MFA for system access	7 years	Active design
