requirement_id,requirement,actor_or_area,acceptance,release_scope,status,implementation_area,evidence_and_remaining_work
AUTH-FR-001,The system shall allow registration using a mobile number in supported country format.,Member,Valid number is accepted; invalid format is rejected with localized guidance.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/auth; apps/mobile/lib/services/genealogy_api_service.dart,Existing M2/M4 acceptance; production SMS delivery and expanded device/security review remain
AUTH-FR-002,The system shall issue a one-time password through the configured OTP provider.,System,"OTP request is rate-limited, logged and provider delivery status is tracked.",MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/auth; apps/mobile/lib/services/genealogy_api_service.dart,Existing M2/M4 acceptance; production SMS delivery and expanded device/security review remain
AUTH-FR-003,The system shall verify OTP within a configurable expiry period and attempt limit.,Member,Correct unexpired OTP authenticates; invalid/expired OTP does not.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/auth; apps/mobile/lib/services/genealogy_api_service.dart,Existing M2/M4 acceptance; production SMS delivery and expanded device/security review remain
AUTH-FR-004,The system shall support OTP resend with cooldown and anti-abuse limits.,Member,Resend is unavailable during cooldown; abuse thresholds cause temporary restriction.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/auth; apps/mobile/lib/services/genealogy_api_service.dart,Existing M2/M4 acceptance; production SMS delivery and expanded device/security review remain
AUTH-FR-005,The system shall create a secure authenticated session after successful verification.,System,Session/token is issued and bound to account status.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/auth; apps/mobile/lib/services/genealogy_api_service.dart,Existing M2/M4 acceptance; production SMS delivery and expanded device/security review remain
AUTH-FR-006,The system shall renew eligible sessions without repeating OTP.,Member,Valid refresh credential renews; revoked/expired credential fails.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/auth; apps/mobile/lib/services/genealogy_api_service.dart,Existing M2/M4 acceptance; production SMS delivery and expanded device/security review remain
AUTH-FR-007,The system shall allow logout from the current device.,Member,Current session is revoked server-side.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/auth; apps/mobile/lib/services/genealogy_api_service.dart,Existing M2/M4 acceptance; production SMS delivery and expanded device/security review remain
AUTH-FR-008,The system shall allow logout from all devices.,Member,All active sessions are revoked.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/auth; apps/mobile/lib/services/genealogy_api_service.dart,Existing M2/M4 acceptance; production SMS delivery and expanded device/security review remain
AUTH-FR-009,The system shall maintain device metadata and push tokens for active sessions.,System,User/admin can identify active devices; stale tokens are removed.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/auth; apps/mobile/lib/services/genealogy_api_service.dart,Existing M2/M4 acceptance; production SMS delivery and expanded device/security review remain
AUTH-FR-010,"Disabled, suspended, deleted or blocked accounts shall not authenticate.",System/Admin,Restricted account receives correct state response and no protected session.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/auth; apps/mobile/lib/services/genealogy_api_service.dart,Existing M2/M4 acceptance; production SMS delivery and expanded device/security review remain
AUTH-FR-011,Security-relevant authentication events shall be auditable.,System,"OTP request/failure, login, logout, revocation and restriction events are recorded.",MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/auth; apps/mobile/lib/services/genealogy_api_service.dart,Existing M2/M4 acceptance; production SMS delivery and expanded device/security review remain
AUTH-FR-012,Admin authentication shall support stronger privileged-session controls and MFA readiness.,Admin,Privileged session policy can enforce shorter expiry and second-factor capability.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/auth; apps/mobile/lib/services/genealogy_api_service.dart,Existing M2/M4 acceptance; production SMS delivery and expanded device/security review remain
PROF-FR-001,User Account and genealogy Person shall remain separate lifecycle entities.,System,Separate IDs and states exist in data model and API.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/profile,M4 Android save/refresh acceptance and private-media HTTP coverage; remaining self-service UI review
PROF-FR-002,An approved member shall view and edit permitted profile fields.,Member,Editable fields update; governed genealogy fields route to change request.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/profile,M4 Android save/refresh acceptance and private-media HTTP coverage; remaining self-service UI review
PROF-FR-003,"The system shall support profile photo upload, crop/compression and secure storage.",Member,Valid image is processed and displayed according to privacy rules.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/profile,M4 Android save/refresh acceptance and private-media HTTP coverage; remaining self-service UI review
PROF-FR-004,"The profile shall support contact, location, occupation, work, education, achievements, publications and approved descriptive fields.",Member,Configured fields persist with validation and visibility metadata.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/profile,M4 Android save/refresh acceptance and private-media HTTP coverage; remaining self-service UI review
PROF-FR-005,The system shall support field-level or grouped visibility settings.,Member,Server removes hidden fields from unauthorized responses.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/profile,M4 Android save/refresh acceptance and private-media HTTP coverage; remaining self-service UI review
PROF-FR-006,"The user shall manage language, notification and privacy preferences.",Member,Preferences persist across sessions/devices.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/profile,M4 Android save/refresh acceptance and private-media HTTP coverage; remaining self-service UI review
PROF-FR-007,The user shall view active devices/sessions and revoke selected sessions.,Member,Revoked session loses access immediately or within token-revocation SLA.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/profile,M4 Android save/refresh acceptance and private-media HTTP coverage; remaining self-service UI review
PROF-FR-008,The member profile shall show claim/verification state.,Member,"Pending, correction, rejected and approved states are visible with next action.",MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/profile,M4 Android save/refresh acceptance and private-media HTTP coverage; remaining self-service UI review
PROF-FR-009,Governed profile changes shall retain history.,Admin/Member,Authorized history view shows prior values and source request.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/profile,M4 Android save/refresh acceptance and private-media HTTP coverage; remaining self-service UI review
PROF-FR-010,The system shall support account deactivation/deletion request.,Member,"Workflow records request, re-authentication/confirmation and final outcome.",MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/profile,M4 Android save/refresh acceptance and private-media HTTP coverage; remaining self-service UI review
PROF-FR-011,Account deletion shall de-link/deactivate authentication separately from genealogy retention.,System/Admin,Person may remain as historical/unclaimed record according to approved policy.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/profile,M4 Android save/refresh acceptance and private-media HTTP coverage; remaining self-service UI review
PROF-FR-012,Minor Person records shall receive restrictive privacy defaults.,System,Sensitive contact/address/school/precise location is not exposed by default.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/profile,M4 Android save/refresh acceptance and private-media HTTP coverage; remaining self-service UI review
GEN-FR-001,Every genealogy Person shall receive an immutable unique Person ID.,System/Admin,"ID is unique, permanent and never reused.",MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/genealogy,Existing M3/M4 acceptance; assess every requirement against current head
GEN-FR-002,"The system shall support living, deceased, child, non-user and historical ancestor Person records.",Admin/Verifier,All types can exist without a User Account.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/genealogy,Existing M3/M4 acceptance; assess every requirement against current head
GEN-FR-003,"The system shall support Nepali/English name variants, aliases and former spellings.",Admin/Member,Search resolves normalized names while original spellings remain preserved.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/genealogy,Existing M3/M4 acceptance; assess every requirement against current head
GEN-FR-004,"A Person shall support known/unknown birth, death, birthplace, residence, branch, generation and other approved facts.",Admin/Member,Partial/unknown facts are accepted without invented values.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/genealogy,Existing M3/M4 acceptance; assess every requirement against current head
GEN-FR-005,The system shall store verified parent-to-child direct links.,Admin/Verifier,Approved/imported parent link is visible in trusted genealogy.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/genealogy,Existing M3/M4 acceptance; assess every requirement against current head
GEN-FR-006,The system shall store verified spouse/approved union direct links.,Admin/Verifier,Approved union connects both People without duplicate inverse records.,MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/genealogy,Existing M3/M4 acceptance; assess every requirement against current head
GEN-FR-007,The system shall reject self-links.,System,"Person cannot be own parent, child or spouse.",MANDATORY_RELEASE_1,ACCEPTANCE_NOT_CLOSED,services/api/src/modules/genealogy,Existing M3/M4 acceptance; assess every requirement against current head
