Requirement ID,Record Type,Source Document,Section / Table Location,Title,Required Behaviour & Acceptance Criteria,Implementation Code Files,Acceptance Test File,Specific Test Name / Procedure,Verification Evidence (Commit: 4bac6fa),Status,Human Approval Gate
Business Sponsor / Steering Committee,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,Document Control,"Business scope, budget, launch approval",__________,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Product Owner,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,Document Control,"Product requirements, prioritization, acceptance",__________,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Genealogy Governance Lead,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,Document Control,"Genealogy integrity, branch governance, verification rules",__________,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Community / Religious Representative,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,Document Control,"Nata/Saino, Jutho, Tithi, Shraddha, rituals and authoritative cultural content",__________,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Technical Lead / Architect,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,Document Control,"Architecture, data, APIs, security and engineering feasibility",__________,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Security & Privacy Lead,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,Document Control,"Privacy, access control, security controls, incident readiness",__________,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
QA / UAT Lead,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,Document Control,"Traceability, test coverage, release quality gates",__________,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Part A,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,Document Map,"SDLC Step 1 — Product, Business and Software Scope","SDLC Step 1 — Product, Business and Software Scope",services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Part B,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,Document Map,"SDLC Step 2 — UX, Domain, Data, Architecture and API Design","SDLC Step 2 — UX, Domain, Data, Architecture and API Design",services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
Part C,REQUIREMENT,Kashyap_Adhikari_Master_Requirements_SDLC_Specification.docx,Document Map,SDLC Step 3 — Engineering and Development Standards,SDLC Step 3 — Engineering and Development Standards,services/api/src/,services/api/test/,Planned for Phase W2 execution,Specification and data schema complete; automated test pending,PLANNED,None
