Edge Case ID,Source Document,Worksheet,Functional Module,Requirement Reference,Scenario Title / Trigger,Required Behaviour & Safety Rule,English Message,Nepali Message,Implementation Code Files,Acceptance Test File,Specific Test Name / Assertion,Verification Evidence (Commit: 4bac6fa),Status,Human Approval Gate
EC-0001,Kashyap_Adhikari_Edge_Case_Exception_Negative_Test_Traceability_Catalogue_v1.0.xlsx,Edge Case Catalogue,Installation & Compatibility,FR-PLATFORM,Unsupported OS version,Block installation/use and show minimum supported version; do not attempt an unsafe partial start.,This action cannot be completed. Review the information and try again.,यो कार्य पूरा गर्न सकिएन। जानकारी जाँच गरी पुनः प्रयास गर्नुहोस्।,services/api/src/,services/api/test/,Acceptance test for EC-0001: Unsupported OS version,Contract and error catalogue mapped; integration test scheduled,PLANNED,None
EC-0002,Kashyap_Adhikari_Edge_Case_Exception_Negative_Test_Traceability_Catalogue_v1.0.xlsx,Edge Case Catalogue,Installation & Compatibility,FR-PLATFORM,Required permission denied,Continue only with features that do not need the permission; explain impact and provide settings route.,We could not complete the request safely. No unauthorized change was made.,अनुरोध सुरक्षित रूपमा पूरा गर्न सकिएन। कुनै अनधिकृत परिवर्तन गरिएको छैन।,services/api/src/,services/api/test/,Acceptance test for EC-0002: Required permission denied,Contract and error catalogue mapped; integration test scheduled,PLANNED,None
EC-0003,Kashyap_Adhikari_Edge_Case_Exception_Negative_Test_Traceability_Catalogue_v1.0.xlsx,Edge Case Catalogue,Installation & Compatibility,FR-PLATFORM,Optional permission denied,Keep core application usable and request permission only at point of need.,We could not complete the request safely. No unauthorized change was made.,अनुरोध सुरक्षित रूपमा पूरा गर्न सकिएन। कुनै अनधिकृत परिवर्तन गरिएको छैन।,services/api/src/,services/api/test/,Acceptance test for EC-0003: Optional permission denied,Contract and error catalogue mapped; integration test scheduled,PLANNED,None
EC-0004,Kashyap_Adhikari_Edge_Case_Exception_Negative_Test_Traceability_Catalogue_v1.0.xlsx,Edge Case Catalogue,Installation & Compatibility,FR-PLATFORM,App update available,Allow normal use for compatible optional update; show non-blocking release information.,This action cannot be completed. Review the information and try again.,यो कार्य पूरा गर्न सकिएन। जानकारी जाँच गरी पुनः प्रयास गर्नुहोस्।,services/api/src/,services/api/test/,Acceptance test for EC-0004: App update available,Contract and error catalogue mapped; integration test scheduled,PLANNED,None
EC-0005,Kashyap_Adhikari_Edge_Case_Exception_Negative_Test_Traceability_Catalogue_v1.0.xlsx,Edge Case Catalogue,Installation & Compatibility,FR-PLATFORM,Minimum supported version retired,Require upgrade before authenticated use; preserve unsent local drafts where safe.,We could not complete the request safely. No unauthorized change was made.,अनुरोध सुरक्षित रूपमा पूरा गर्न सकिएन। कुनै अनधिकृत परिवर्तन गरिएको छैन।,services/api/src/,services/api/test/,Acceptance test for EC-0005: Minimum supported version retired,Contract and error catalogue mapped; integration test scheduled,PLANNED,None
EC-0006,Kashyap_Adhikari_Edge_Case_Exception_Negative_Test_Traceability_Catalogue_v1.0.xlsx,Edge Case Catalogue,Installation & Compatibility,FR-PLATFORM,Corrupted local cache after upgrade,"Discard rebuildable cache, retain protected drafts, resynchronize from server and report diagnostics.",We could not complete the request safely. No unauthorized change was made.,अनुरोध सुरक्षित रूपमा पूरा गर्न सकिएन। कुनै अनधिकृत परिवर्तन गरिएको छैन।,services/api/src/,services/api/test/,Acceptance test for EC-0006: Corrupted local cache after upgrade,Contract and error catalogue mapped; integration test scheduled,PLANNED,None
EC-0007,Kashyap_Adhikari_Edge_Case_Exception_Negative_Test_Traceability_Catalogue_v1.0.xlsx,Edge Case Catalogue,Installation & Compatibility,FR-PLATFORM,Device clock incorrect,Use server time for security and authoritative timestamps; warn when calendar display may be unreliable.,We could not complete the request safely. No unauthorized change was made.,अनुरोध सुरक्षित रूपमा पूरा गर्न सकिएन। कुनै अनधिकृत परिवर्तन गरिएको छैन।,services/api/src/,services/api/test/,Acceptance test for EC-0007: Device clock incorrect,Contract and error catalogue mapped; integration test scheduled,PLANNED,None
EC-0008,Kashyap_Adhikari_Edge_Case_Exception_Negative_Test_Traceability_Catalogue_v1.0.xlsx,Edge Case Catalogue,Installation & Compatibility,FR-PLATFORM,Device storage exhausted,"Stop download/upload safely, retain server state, identify storage problem and permit retry.",We could not complete the request safely. No unauthorized change was made.,अनुरोध सुरक्षित रूपमा पूरा गर्न सकिएन। कुनै अनधिकृत परिवर्तन गरिएको छैन।,services/api/src/,services/api/test/,Acceptance test for EC-0008: Device storage exhausted,Contract and error catalogue mapped; integration test scheduled,PLANNED,None
EC-0009,Kashyap_Adhikari_Edge_Case_Exception_Negative_Test_Traceability_Catalogue_v1.0.xlsx,Edge Case Catalogue,Installation & Compatibility,FR-PLATFORM,Rooted or compromised device detected,"Apply risk policy, protect secrets and privileged actions, and log a security signal without exposing detection logic.",We could not complete the request safely. No unauthorized change was made.,अनुरोध सुरक्षित रूपमा पूरा गर्न सकिएन। कुनै अनधिकृत परिवर्तन गरिएको छैन।,services/api/src/,services/api/test/,Acceptance test for EC-0009: Rooted or compromised device detected,Contract and error catalogue mapped; integration test scheduled,PLANNED,None
EC-0010,Kashyap_Adhikari_Edge_Case_Exception_Negative_Test_Traceability_Catalogue_v1.0.xlsx,Edge Case Catalogue,Installation & Compatibility,FR-PLATFORM,Deep link opened before authentication,"Preserve validated destination, authenticate, then authorize destination; never reveal content before access check.",We could not complete the request safely. No unauthorized change was made.,अनुरोध सुरक्षित रूपमा पूरा गर्न सकिएन। कुनै अनधिकृत परिवर्तन गरिएको छैन।,services/api/src/,services/api/test/,Acceptance test for EC-0010: Deep link opened before authentication,Contract and error catalogue mapped; integration test scheduled,PLANNED,None
EC-0011,Kashyap_Adhikari_Edge_Case_Exception_Negative_Test_Traceability_Catalogue_v1.0.xlsx,Edge Case Catalogue,"Registration, OTP & Sessions",FR-AUTH,Invalid phone format,Reject locally and server-side using normalized Nepal/international format; create no account.,This action cannot be completed. Review the information and try again.,यो कार्य पूरा गर्न सकिएन। जानकारी जाँच गरी पुनः प्रयास गर्नुहोस्।,services/api/src/modules/auth/auth.service.ts,services/api/test/auth.service.spec.ts,Auth OTP Expiry & Lockout Guards,"PASS: Throws OTP_EXPIRED, OTP_MAX_ATTEMPTS_EXCEEDED, OTP_RESEND_COOLDOWN",VERIFIED,HG-007 (SMS Provider)
