Nata/Saino Candidate Rule Catalogue																										
AI-assisted desk validation v0.2 completed; cultural authority approval remains mandatory.																										
Rule ID	Category	Generation Offset	Side/Line	Path Code	Relationship from Ego	Person Gender	Relative Age	Primary Nepali Term	Romanization	English Label	Reciprocal Term	Relationship Type	Applicability / UI Rule	Variant Terms	Research Source ID	Evidence Status	Validation Status	Cultural Reviewer	Final Approver	Rule Version	Effective Date	Validation Notes	Desk Review Outcome	Confidence	Automation Disposition	Required Human Validation
NS-001	Immediate	0	Self	E	Self	Any	N/A	आफू	aafu	Self	N/A	Biological/identity	All	स्वयं	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported as common Standard Nepali candidate	High	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-002	Parent	+1	Paternal	E-F	Father	Male	N/A	बुबा	bubā	Father	छोरा/छोरी	Biological	All	बुवा; पिता	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported as common Standard Nepali candidate	High	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-003	Parent	+1	Maternal	E-M	Mother	Female	N/A	आमा	āmā	Mother	छोरा/छोरी	Biological	All	माता	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported as common Standard Nepali candidate	High	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-004	Sibling	0	Shared parent	E-B(o)	Older brother	Male	Older	दाजु	dāju	Older brother	भाइ/बहिनी	Biological	All	दाइ	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported as common Standard Nepali candidate	High	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-005	Sibling	0	Shared parent	E-B(y)	Younger brother	Male	Younger	भाइ	bhāi	Younger brother	दाजु/दिदी	Biological	All	कान्छो भाइ	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported as common Standard Nepali candidate	High	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-006	Sibling	0	Shared parent	E-Z(o)	Older sister	Female	Older	दिदी	didī	Older sister	भाइ/बहिनी	Biological	All	दिदीबहिनी (collective)	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported as common Standard Nepali candidate	High	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-007	Sibling	0	Shared parent	E-Z(y)	Younger sister	Female	Younger	बहिनी	bahinī	Younger sister	दाजु/दिदी	Biological	All	कान्छी बहिनी	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported as common Standard Nepali candidate	High	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-008	Spouse	0	Marriage	E-H	Husband	Male	N/A	श्रीमान्	shrīmān	Husband	श्रीमती	Marriage	Formal UI	पति	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported as common Standard Nepali candidate	High	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-009	Spouse	0	Marriage	E-W	Wife	Female	N/A	श्रीमती	shrīmatī	Wife	श्रीमान्	Marriage	Formal UI	पत्नी	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported as common Standard Nepali candidate	High	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
NS-010	Child	-1	Descendant	E-S	Son	Male	N/A	छोरा	chorā	Son	बुबा/आमा	Biological	All	पुत्र	SRC-001; SRC-002	Academic support; community authority missing	Expert validation required			0.2		AI desk review only; not a cultural approval	Supported as common Standard Nepali candidate	High	Implement only behind approval gate	Adhikari cultural reviewer + separate senior final approver
