Three-Year Operating Cost Forecast										
Amounts NPR millions; Year 1 begins after production launch.										
Cost category	Min Y1	Min Y2	Min Y3	Rec Y1	Rec Y2	Rec Y3	Ent Y1	Ent Y2	Ent Y3
Cloud compute, managed database, cache and networking	1.2	1.5	1.8	2.4	3	3.8	4.2	5.3	6.8
Object storage, backup and disaster recovery	0.4	0.5	0.7	0.8	1	1.3	1.5	1.9	2.5
OTP, notification, email, maps and external APIs	0.6	0.8	1	1.2	1.6	2.1	2.4	3.2	4.2
Application maintenance and enhancements	2.4	2.8	3.3	4.8	5.5	6.4	8	9.2	10.8
Business-hours operations and user support	1.4	1.7	2	2.8	3.3	3.9	4.8	5.6	6.6
Security, monitoring, audits and compliance	0.6	0.8	1	1.4	1.7	2.1	2.8	3.4	4.2
Content, moderation and genealogy operations	0.8	1	1.2	1.8	2.2	2.7	3.5	4.2	5
Licences, devices, training and administration	0.4	0.5	0.6	0.8	1	1.2	1.4	1.7	2
Annual total	7.8	9.6	11.6	16	19.299999999999997	23.5	28.6	34.5	42.1
Three-year total	29			58.8			105.2		
